date,rate_under20,rate_20,rate_30,rate_40,rate_50,rate_over60
2020. 05,10.66288826,28.84369617,22.97605156,16.0971273,13.69672723,7.723509474
2020. 06,11.55460385,25.92291221,24.7366167,17.04068522,13.60171306,7.143468951
2020. 07,9.654809306,24.47925236,25.90411004,18.86866958,14.27161144,6.82154727
2020. 08,14.45699485,38.91692702,16.76947315,12.08844028,11.60244599,6.165718711
2020. 09,11.17403144,31.17031811,20.68634732,15.0699344,13.8507241,8.048644634
2020. 10,6.409476434,24.02748452,23.71971513,18.46616326,16.92731632,10.44984433
2020. 11,9.873741995,26.02012809,23.54986276,17.05397987,14.58005489,8.922232388
2020. 12,11.66357061,26.90407494,24.89624916,16.9716612,12.93229517,6.632148927
2021. 01,7.113095238,24.75340136,26.30102041,17.75085034,16.61989796,7.461734694
2021. 02,10.22775984,42.12271026,19.56105507,12.15385934,11.1936673,4.74094819
2021. 03,7.784961936,29.74502034,22.17905934,16.42246324,16.7874648,7.081030347
2021. 04,5.673678868,21.74440246,22.95978794,17.79087474,21.49906943,10.33218657
